feature_id	coordinate	D-CCN1-1	D-CCN1-2	D-CCN1-3	D-CTL-1	D-CTL-2	D-CTL-3	isoform_ids
inclusion_1:170881028	1:170881028-170884907_1:170881028-170885066	2.0	2.0	0.0	0.0	6.0	0.0	eb149d89-c2c6-45dd-98a0-4f8de9a297d1
exclusion_1:170881028	1:170881028-170884907_1:170881028-170885066	59.0	35.0	31.0	25.0	17.0	35.0	ENSMUST00000046476,ENSMUST00000171447,ENSMUST00000027970
inclusion_1:65181698	1:65181698-65186208_1:65181698-65186304	1.0	1.0	0.0	1.0	1.0	3.0	78442f97-048c-4845-80df-984e5d373c00,de249942-16ba-48d9-bc9d-63e608c0cce8
exclusion_1:65181698	1:65181698-65186208_1:65181698-65186304	5.0	0.0	1.0	6.0	6.0	5.0	22bad889-31e6-4ae3-bbc8-2ff19d8713c9,8378f135-9fbc-4367-98be-5dbb0217db77
inclusion_1:53346761	1:53346761-53347014_1:53346761-53348445	132.0	85.0	81.0	104.0	102.0	120.0	fc14f589-1e8f-44d3-82c1-8afecfa4f185,ENSMUST00000027264,ENSMUST00000144660,69f5f746-18b4-419b-a1bb-a5bf27d92984
exclusion_1:53346761	1:53346761-53347014_1:53346761-53348445	19.0	26.0	25.0	21.0	28.0	35.0	ENSMUST00000123519
inclusion_1:120120012	1:120120012-120120761_1:120120012-120120944	6.0	5.0	3.0	3.0	8.0	4.0	ENSMUST00000151708
exclusion_1:120120012	1:120120012-120120761_1:120120012-120120944	5608.0	4954.0	5442.0	5872.0	5392.0	5918.0	ENSMUST00000027634,ENSMUST00000132118,2e74878a-9466-4495-9a66-0ea59b3ad801
inclusion_1:171230087	1:171230087-171230921_1:171230087-171230995	0.0	0.0	0.0	1.0	1.0	1.0	ENSMUST00000193973
exclusion_1:171230087	1:171230087-171230921_1:171230087-171230995	53.0	57.0	49.0	443.0	496.0	366.0	ENSMUST00000079957,365ebaab-81f3-48d6-8f2d-579216b5bf03,e812f535-bea5-4542-8901-c90f1b8764de
inclusion_1:171345000	1:171345000-171345535_1:171345000-171345567	14.0	8.0	2.0	9.0	15.0	13.0	ENSMUST00000111289
exclusion_1:171345000	1:171345000-171345535_1:171345000-171345567	37.0	43.0	43.0	40.0	52.0	44.0	ccf01d64-5057-45f8-ac27-d6a1082d9435,ENSMUST00000111295
