feature_id	coordinate	D-CCN1-1	D-CCN1-2	D-CCN1-3	D-CTL-1	D-CTL-2	D-CTL-3	isoform_ids
inclusion_1:44101957-44102327	1:44101957-44102327	0.0	3.0	0.0	1.0	6.0	2.0	b069d0b8-5cbd-4775-b929-bfd4203fdbc4
exclusion_1:44101957-44102327	1:44101957-44102327	2.0	1.0	0.0	2.0	1.0	3.0	a106ff6d-3527-4f7a-8c06-eee2a07157f3
inclusion_1:91387341-91388354	1:91387341-91388354	3.0	0.0	1.0	0.0	2.0	0.0	ENSMUST00000187105
exclusion_1:91387341-91388354	1:91387341-91388354	8.0	10.0	7.0	5.0	1.0	5.0	6609334b-6291-4719-beaf-49b696a58246,675a4c8d-1719-4d53-bef8-812b8dfd129d,84b5bfba-83b9-4c06-b97d-3fa3813bcd17,50284669-297b-49aa-ab6f-48bb70ccecd4
inclusion_1:106774147-106777269	1:106774147-106777269	0.0	2.0	3.0	2.0	0.0	5.0	8de17bad-5656-4e26-a39f-600e07b52726
exclusion_1:106774147-106777269	1:106774147-106777269	55.0	35.0	19.0	76.0	124.0	103.0	3111e7fe-f6f1-4755-a314-3d1c052bf2eb,79be5dea-971b-4a2b-a145-16f8c3314815,ENSMUST00000094646,87423bc4-99d8-4ebf-bbe0-cb6a3f973e6d
inclusion_1:65161212-65161799	1:65161212-65161799	1.0	2.0	0.0	3.0	3.0	1.0	97b94641-1585-4727-8b25-5f6264f65e4b
exclusion_1:65161212-65161799	1:65161212-65161799	133.0	69.0	47.0	148.0	173.0	144.0	ENSMUST00000097709,78442f97-048c-4845-80df-984e5d373c00,de249942-16ba-48d9-bc9d-63e608c0cce8,ENSMUST00000169032,22bad889-31e6-4ae3-bbc8-2ff19d8713c9,256676bb-836c-47ab-8e88-dbb402977b71,8378f135-9fbc-4367-98be-5dbb0217db77
inclusion_1:178334026-178335881	1:178334026-178335881	11.0	21.0	13.0	30.0	26.0	34.0	d147e3d1-5b54-400e-ba5a-aead215f4d90,aeebb5ec-bf10-46f3-a5b7-f6260e56f2d6,e5c23727-65ce-47af-9ced-1f40e8c474cd,f8fe9058-55e4-4206-9ab0-7270fcc5ec7e,c7f0e0a5-7eff-450a-a837-cafa032bc4f0,2226f37c-0831-4496-9b48-be55b2679650,5d99adeb-4775-49cb-8c67-e8126c34ad95
exclusion_1:178334026-178335881	1:178334026-178335881	40.0	23.0	22.0	51.0	92.0	50.0	872bdd09-8ce0-4a48-ac25-e74258bf0b97,ENSMUST00000037748,ENSMUST00000037748-1,62be0c95-c859-45a1-8b68-4abea0a32d19
inclusion_1:93408497-93408688	1:93408497-93408688	3.0	5.0	0.0	1.0	2.0	0.0	b7245fbd-9b2a-4150-8028-c7a27825b95d
exclusion_1:93408497-93408688	1:93408497-93408688	241.0	136.0	117.0	351.0	471.0	437.0	5d4f92a8-6f8b-42b7-a639-fc1b33327fb8,f32f55c0-e5fa-48af-ba52-8beae4130b86,a9594789-ddcd-4025-b731-3cbe9a238dce,0535360c-895d-443f-be15-fd8f7b68e0e8,14c27a6c-5766-4546-bacc-d273a42ae542,958a8fd7-b268-4d41-8cea-e0022c34077a,7812a3a4-6852-429c-a9e3-08f47797d357,9140e1de-0632-4239-9360-37ddd844f824,853de6cd-3fd4-400a-b867-cffaeed9fa2d,20651504-84fd-4e19-bc65-0fb8dbeaff07-1,4b00f8af-e10d-4d80-bffb-b21273c51c0f,cc4a94ad-c1d8-41f5-9a9a-236a2392d082,8f402cf3-4f20-408f-957b-21d6b57f0f5f,4e0f7039-d882-468f-b051-2c401799b6f4,7eb5e84c-0ecc-44d7-ac66-f3b50293c479,b347b063-f753-4954-8ccf-98b2ea901473,d0644d03-da89-43cb-aa58-b1c4b11cc43d,5e7f1797-f226-43bd-9cf6-e9a51c90fcf2,6336c0fb-ab3a-4f9e-9172-9c1c4d97e1d8,547c2805-fe39-4874-81ff-b4a1b386f8de-1,e4356381-60c2-49ce-bc6c-ab999903f160,5faaaf9b-4353-40a9-8b35-4afbcd2d7d99,c2bd3d49-871a-432d-a6c2-b2600ecbab38,444ec354-b6e7-49ac-b7f6-b299cbc3771d,aeee7132-15bc-4663-b220-5ac36c03bbdd,ENSMUST00000170883,6e05abd1-2e08-4313-98ca-512dcf15e33a,286172cc-8a86-42c4-ae10-25d4a6e07621,ENSMUST00000042498,9dc4ff25-fc34-42f6-adfc-9748c0346e26,5f67dfc9-500e-4015-a59f-92dec23572e8,7d87a608-267c-4edf-95f0-8827019f39f4,e1f171ed-0220-47ac-b6bc-46126b595615,809c8e30-fb78-4c50-8d69-5df8e618ee9c,8a776777-184f-4e8a-9123-271716b3766e,8748134c-c289-4273-ba88-a8fa92b539f5
inclusion_1:153127164-153128956	1:153127164-153128956	3.0	8.0	0.0	6.0	8.0	1.0	382f8aed-612a-427a-b484-f76c61386f6a
exclusion_1:153127164-153128956	1:153127164-153128956	13.0	11.0	11.0	26.0	41.0	31.0	df2e4447-4f3d-4255-9b03-672a4f208b45,6c88092f-85ce-470a-8032-cb22c7eb415a,ENSMUST00000185356-1,ENSMUST00000027753
