feature_id	coordinate	D-CCN1-1	D-CCN1-2	D-CCN1-3	D-CTL-1	D-CTL-2	D-CTL-3	isoform_ids
inclusion_16:90947014-90947053	16:90947014-90947053	1.0	4.0	0.0	0.0	3.0	3.0	aba824af-bf95-42d2-9947-000add02f1e9_ENSMUSG00000022973,5941a3f5-597c-4bec-9434-808b68d7012c_ENSMUSG00000022973,8e705660-3933-4823-97f8-fc0ddd3a2890_ENSMUSG00000022973
exclusion_16:90947014-90947053	16:90947014-90947053	1.0	2.0	0.0	5.0	4.0	9.0	e0a7cfd7-11ef-4f18-a727-0fab045f7b8c_ENSMUSG00000022973,cde944ac-5465-445d-bf18-00a93da156d4_ENSMUSG00000022973
inclusion_16:49762600-49762667	16:49762600-49762667	93.0	67.0	62.0	49.0	89.0	69.0	bc42be4b-74c2-4e44-a1ca-6e42423f279d_ENSMUSG00000032965,5938d444-1a5d-476f-8376-227855ac79bc_ENSMUSG00000032965,ENSMUST00000046777_ENSMUSG00000032965,da6b356d-c31c-4c28-8282-ebf36314c092_ENSMUSG00000032965,c78b00ae-4029-4937-a592-d4df23d24d43_ENSMUSG00000032965,36691e9e-be66-42a9-8a55-a248cebfe6c2_ENSMUSG00000032965
exclusion_16:49762600-49762667	16:49762600-49762667	0.0	2.0	3.0	1.0	1.0	0.0	9049aee9-6fc2-49a9-b3d5-2f9b13358d29_ENSMUSG00000032965
inclusion_16:20542196-20542750	16:20542196-20542750	2289.0	1994.0	1910.0	1495.0	1544.0	1630.0	1b805fee-857c-4b22-8837-4b2967302059_ENSMUSG00000022841,d2032b44-7c15-47d5-a3c9-65ba3a8f0827_ENSMUSG00000022841,ENSMUST00000090023_ENSMUSG00000022841,314dc74e-c325-4e04-ba76-ebea05e19c88_ENSMUSG00000022841,75c9961d-278c-4f2f-8e46-1370558b0f01_ENSMUSG00000022841,bd4cbc27-757a-4312-99a2-c63b1b5cded2_ENSMUSG00000022841,92be7199-8dbc-4ee2-846f-b31492d59f83_ENSMUSG00000022841,db40e248-6c42-451c-89fd-5a1c8597af4f_ENSMUSG00000022841,0af92652-f218-4692-9299-d912e3606432_ENSMUSG00000022841,d2ed92d7-4101-4867-8bc3-c544979f3d97_ENSMUSG00000022841,4e76bfa0-95b1-4c77-9cb8-9d067eff9e11_ENSMUSG00000022841,ebe43772-6752-4919-b7b7-16a4cd2f93a6_ENSMUSG00000022841,2486bb9b-4062-486c-a454-e06753a30f56_ENSMUSG00000022841
exclusion_16:20542196-20542750	16:20542196-20542750	9.0	6.0	5.0	10.0	6.0	5.0	7766b6a4-f0d7-4525-abf9-1435a42591f1_ENSMUSG00000022841
inclusion_16:20368423-20368570	16:20368423-20368570	29.0	13.0	15.0	31.0	46.0	52.0	ef67b762-30de-41a2-8bad-9cb9c32c5741_ENSMUSG00000022822,6688d14d-f7f8-429a-9939-51e5253eb765_ENSMUSG00000022822,fe6ea5ee-b352-45cf-b95b-ebffbaf2cf1a_ENSMUSG00000022822,b268b0f5-1678-4438-846c-cf639fcaf25b_ENSMUSG00000022822,af53268a-fffd-49e6-a017-06126e110b65_ENSMUSG00000022822,ENSMUST00000079158_ENSMUSG00000022822,246a5138-080f-4dc7-9001-19400a81ec2a_ENSMUSG00000022822,18a9c914-440e-4b20-8ed2-773be8635d8f_ENSMUSG00000022822
exclusion_16:20368423-20368570	16:20368423-20368570	2.0	0.0	1.0	0.0	2.0	4.0	d6e55ea5-a95f-4e11-8d65-c0c23c96378e_ENSMUSG00000022822
inclusion_16:49869017-49869080	16:49869017-49869080	154.0	119.0	134.0	106.0	136.0	126.0	3b3216dd-18d5-453c-ba38-a3e38a6a63c3_ENSMUSG00000055447,01f87a9a-1901-4c8e-8b5e-6b35c9fa2f38_ENSMUSG00000055447,ENSMUST00000084838_ENSMUSG00000055447
exclusion_16:49869017-49869080	16:49869017-49869080	566.0	392.0	418.0	267.0	359.0	286.0	8b377108-e6ca-4dba-9102-0b09269e03ac_ENSMUSG00000055447,d17879ef-846b-4948-8dbc-acf6922a9502_ENSMUSG00000055447,9db0f0e0-7fe1-4155-b077-94e8e380676c_ENSMUSG00000055447
